,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Component 2,Role 2,Mole Fraction 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source,Exact Amount 1,Exact Amount 2
43,-8597573532866648355,298.15,101.325,Liquid,1,Cc1ccccc1C,Solvent,1.0,,,,,,0.8759000000000002,0.0029,10.1016/j.fluid.2010.08.010,,
44,2421303213161898241,298.15,101.325,Liquid,1,Cc1ccc(C)cc1,Solvent,1.0,,,,,,0.8566300000000002,0.008,10.1021/acs.jced.6b00019,,
45,4300296925257348614,298.15,101.325,Liquid,1,Cn1ccnc1,Solvent,1.0,,,,,,1.0332000000000003,0.0008,10.1016/j.fluid.2009.02.011,,
46,2505665590694738123,298.15,101.325,Liquid,1,NCCN,Solvent,1.0,,,,,,0.8953230000000002,0.0020005,10.1016/j.fluid.2016.08.014,,
47,6725694421750657881,298.15,101.325,Liquid,1,CCCCCCO,Solvent,1.0,,,,,,0.8159000000000002,0.001415,10.1016/j.jct.2019.02.027,,
48,-4810697501018167231,298.15,101.325,Liquid,1,CN1CCOCC1,Solvent,1.0,,,,,,0.9140600000000002,0.00077,10.1021/je7005055,,
49,5498608703161615540,298.15,101.325,Liquid,1,OCCOCCO,Solvent,1.0,,,,,,1.1140200000000002,0.00334,10.1016/j.jct.2011.06.013,,
50,1882405540408400895,298.15,101.325,Liquid,1,OCCCO,Solvent,1.0,,,,,,1.0503700000000002,0.00084,10.1016/j.jct.2008.07.005,,
51,-2723935845424879539,298.15,101.325,Liquid,1,CCCCOC(C)=O,Solvent,1.0,,,,,,0.8764500000000003,0.002945,10.1021/je050001c,,
52,6193425022427963447,298.15,101.325,Liquid,1,CNc1ccccc1,Solvent,1.0,,,,,,0.9822370000000002,0.010011,10.1016/j.jct.2012.07.006,,
53,808304984354638117,298.15,101.325,Liquid,1,CCC(C)=O,Solvent,1.0,,,,,,0.7997100000000003,0.00184,10.1016/j.jct.2007.04.004,,
54,-1889244192021643737,298.15,101.325,Liquid,1,c1cc[nH]c1,Solvent,1.0,,,,,,0.9659000000000002,0.00146,10.1021/je8006265,,
55,-3214098154242529324,298.15,101.325,Liquid,1,c1ccncc1,Solvent,1.0,,,,,,0.9782520000000002,0.000511,10.1021/je301353z,,
56,-3021381884389972727,298.15,101.325,Liquid,1,CCOC(=O)OCC,Solvent,1.0,,,,,,0.9700000000000002,0.05,10.1016/j.jct.2012.12.025,,
57,-5792062764080025720,298.15,101.325,Liquid,1,CCCCCCC,Solvent,1.0,,,,,,0.6797100000000001,0.01,10.1016/j.jct.2012.07.006,,
58,-2643457824189909750,298.15,101.325,Liquid,1,CC(=O)C(C)C,Solvent,1.0,,,,,,0.7985100000000002,0.00035,10.1021/acs.jced.7b00035,,
59,194699681006051052,298.15,101.325,Liquid,1,CC(=O)CC(C)C,Solvent,1.0,,,,,,0.8005890000000002,0.0050015,10.1021/acs.jced.8b00120,,
60,963068985323973762,298.15,101.325,Liquid,1,CCOC(=O)CC(C)=O,Solvent,1.0,,,,,,1.0209,0.00055,10.1021/je0301489,,
61,6054295861956818507,298.15,101.325,Liquid,1,CN(C)CCO,Solvent,1.0,,,,,,0.8833400000000002,0.0002,10.1016/j.tca.2014.03.038,,
62,-6466927862269940267,298.15,101.325,Liquid,1,OC1=NCCC1,Solvent,1.0,,,,,,1.1070190000000002,0.00118,10.1021/je0340809,,
63,-7615029278555898404,298.15,101.325,Liquid,1,C=CCCCC,Solvent,1.0,,,,,,0.6687300000000002,0.00069,10.1016/j.jct.2006.03.020,,
64,4467583724385211779,298.15,101.325,Liquid,1,C1CCNCC1,Solvent,1.0,,,,,,0.8646000000000003,0.0009,10.1016/j.fluid.2009.10.018,,
65,-2167448412971409356,298.15,101.325,Liquid,1,Cc1ccccc1O,Solvent,1.0,,,,,,1.0460000000000005,0.00145,10.1016/j.fluid.2006.03.018,,
66,-6212197542561117365,298.15,101.325,Liquid,1,Cc1cccc(O)c1,Solvent,1.0,,,,,,1.0300000000000002,0.00385,10.1016/j.jct.2006.03.006,,
67,4701974975785457455,298.15,101.325,Liquid,1,CCCCCCCCC,Solvent,1.0,,,,,,0.7139000000000002,0.0015,10.1021/je050159x,,
68,-5498464532998961561,298.15,101.325,Liquid,1,CC1CCCCC1,Solvent,1.0,,,,,,0.7649500000000002,0.008,10.1021/acs.jced.6b00019,,
69,-129613868678821728,298.15,101.325,Liquid,1,O=C1CCCO1,Solvent,1.0,,,,,,1.1245400000000003,0.005,10.1021/acs.jced.6b00088,,
70,-6096746359860982613,298.15,101.325,Liquid,1,CS(C)=O,Solvent,1.0,,,,,,1.0953700000000002,0.003385,10.1016/j.jct.2007.04.004,,
71,7808645781741216196,298.15,101.325,Liquid,1,CCCCCO,Solvent,1.0,,,,,,0.8108300000000003,0.000875,10.1021/je034053i,,
72,-9051594770343134436,298.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,,,,,,0.9893000000000002,0.001,10.1016/j.jct.2007.03.007,,
73,3579451971970962893,298.15,101.325,Liquid,1,CCCCOCCCC,Solvent,1.0,,,,,,0.7640700000000002,0.001,10.1021/je034022n,,
74,4019272489890757365,298.15,101.325,Liquid,1,ClC(Cl)Cl,Solvent,1.0,,,,,,1.4759000000000004,0.00105,10.1016/j.fluid.2008.02.018,,
75,357025109302744602,298.15,101.325,Liquid,1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,1.7010000000000003,0.0035,10.1016/j.fluid.2018.12.005,,
76,2286441867127822001,298.15,101.325,Liquid,1,CC(=O)O,Solvent,1.0,,,,,,1.0441200000000002,0.005,10.1021/acs.jced.6b00112,,
77,1612043098847244555,298.15,101.325,Liquid,1,ClCCCCl,Solvent,1.0,,,,,,1.1792000000000002,0.0012,10.1016/j.jct.2016.12.016,,
78,6039139756272407767,298.15,101.325,Liquid,1,ClCCCCCCl,Solvent,1.0,,,,,,1.0950100000000005,0.00052,10.1016/j.jct.2018.12.042,,
79,-4819361828885836251,298.15,101.325,Liquid,1,Cc1ccccc1N,Solvent,1.0,,,,,,0.9942800000000002,0.00358,10.1021/je800100m,,
80,-1267329393963105709,298.15,101.325,Liquid,1,NCCO,Solvent,1.0,,,,,,1.0125300000000002,0.002005,10.1016/j.jct.2019.01.025,,
81,-8203273694724718123,298.15,101.325,Liquid,1,CCN(CC)CCO,Solvent,1.0,,,,,,0.8795000000000002,0.00015,10.1021/je700350b,,
82,-4966924331480223766,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,,,,,,0.9455480000000004,4.950000000000002e-05,10.1016/j.tca.2011.06.003,,
83,-3623766360973682461,298.15,101.325,Liquid,1,CCCO,Solvent,1.0,,,,,,0.8032000000000002,0.00355,10.1021/je900212d,,
84,-6219986370133359915,298.15,101.325,Liquid,1,OCCN1CCOCC1,Solvent,1.0,,,,,,1.0713,0.00047,10.1016/j.jct.2007.11.010,,
85,-1973969532738105498,298.15,101.325,Liquid,1,CCCCCCCO,Solvent,1.0,,,,,,0.8187500000000002,0.00085,10.1021/je034053i,,
86,-618819617197662905,298.15,101.325,Liquid,1,CCCCCCN,Solvent,1.0,,,,,,0.7600730000000001,0.000915,10.1021/acs.jced.5b00802,,
87,-8574581718288198850,298.15,101.325,Liquid,1,CCCCCCCCCC(=O)OC,Solvent,1.0,,,,,,0.8680200000000002,0.000505,10.1021/acs.jced.9b00185,,
88,-8934725962971091710,298.15,101.325,Liquid,1,COC(=O)OC,Solvent,1.0,,,,,,1.0700000000000005,0.05,10.1016/j.jct.2012.12.025,,
89,7950848413899575095,298.15,101.0,Liquid,1,BrCCBr,Solvent,1.0,,,,,,2.16841,0.001445,10.1021/je0603325,,
90,6486099059556318141,295.15,101.325,Liquid,1,BrCCCCBr,Solvent,1.0,,,,,,1.8194400000000004,0.000515,10.1016/j.jct.2005.07.009,,
91,-5467003393093320508,298.05,101.0,Liquid,1,BrCCCCCBr,Solvent,1.0,,,,,,1.6918700000000002,0.000455,10.1021/je060200b,,
92,3863768031167736853,295.15,101.325,Liquid,1,BrCCCCCCBr,Solvent,1.0,,,,,,1.6018000000000003,0.00125,10.1016/j.jct.2005.07.009,,
93,-3522157999650166317,298.15,101.325,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,0.8998000000000002,0.000185,10.1016/j.fluid.2005.05.012,,
94,-7631090526152985151,298.15,101.325,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,,,,,,1.0773400000000002,0.0005,10.1021/je400408w,,
95,5236768179031036835,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,0.952002,0.000511,10.1021/je4004965,,
96,877212237698051701,298.15,101.325,Liquid,1,CCCCOP(=O)(OCCCC)OCCCC,Solvent,1.0,,,,,,0.9616000000000002,0.0065,10.1016/j.fluid.2009.02.011,,
97,-5632951144218051116,298.15,101.325,Liquid,1,CCOC(=O)CC,Solvent,1.0,,,,,,0.8841000000000002,0.00321,10.1021/je050001c,,
98,-7677064987145534890,298.15,101.325,Liquid,1,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Solvent,1.0,,,,,,1.5165000000000004,0.000605,10.1016/j.jct.2005.02.011,,
99,7770690891726888238,298.15,101.325,Liquid,1,Cc1ccccn1,Solvent,1.0,,,,,,0.9398000000000002,0.0013,10.1021/je020148t,,
100,5953640727234679689,298.15,101.325,Liquid,1,CCCC(C)=O,Solvent,1.0,,,,,,0.8019900000000002,0.001005,10.1016/j.jct.2016.02.016,,
101,-6375147282737840883,298.15,101.325,Liquid,1,C1CCOC1,Solvent,1.0,,,,,,0.8892000000000002,0.00235,10.1016/j.fluid.2004.10.027,,
102,-4212926013806474021,298.15,101.325,Liquid,1,CCCCCC(C)=O,Solvent,1.0,,,,,,0.8110800000000002,0.00098,10.1016/j.jct.2016.02.016,,
103,2677264232197663122,298.15,101.325,Liquid,1,CCC#N,Solvent,1.0,,,,,,0.7767000000000003,0.0008,10.1016/j.jct.2016.12.016,,
104,5580248632646705872,298.15,101.325,Liquid,1,CCC(C)(C)O,Solvent,1.0,,,,,,0.8040100000000002,0.000495,10.1021/je049738c,,
105,-3474366204786310258,298.15,101.325,Liquid,1,CCC(=O)OC,Solvent,1.0,,,,,,0.9101800000000002,0.00045,10.1016/j.jct.2006.05.004,,
106,-8727182392666972017,298.15,101.325,Liquid,1,CCCC(=O)OC,Solvent,1.0,,,,,,0.8924200000000002,0.000485,10.1016/j.jct.2006.05.004,,
107,-827998121477049331,298.15,101.325,Liquid,1,CCCCC(=O)OC,Solvent,1.0,,,,,,0.8845900000000002,0.0005,10.1016/j.jct.2006.05.004,,
108,709590745985151453,298.15,101.325,Liquid,1,CCOc1ccccc1,Solvent,1.0,,,,,,0.9602000000000004,0.0003,10.1016/j.jct.2013.12.008,,
109,2040043696923145482,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,1.0258000000000005,0.0011,10.1016/j.fluid.2008.02.023,,
110,5104983688507549574,298.15,101.325,Liquid,1,CCCCOC=O,Solvent,1.0,,,,,,0.8881700000000001,0.00079,10.1016/j.jct.2005.11.003,,
111,-4722400862197700535,298.15,101.325,Liquid,1,CCCCOC(=O)CC,Solvent,1.0,,,,,,0.8710800000000003,0.00048,10.1016/j.jct.2005.11.003,,
112,-4927742616517013946,298.15,101.325,Liquid,1,COC=O,Solvent,1.0,,,,,,0.9663800000000002,0.000515,10.1021/je200974r,,
113,-2983783345586550878,298.15,101.325,Liquid,1,CCOC(=O)CC(=O)OCC,Solvent,1.0,,,,,,1.0496030000000005,5.3000000000000014e-05,10.1021/je9003806,,
114,4927501425691085800,298.15,101.325,Liquid,1,CCCOC(=O)CC,Solvent,1.0,,,,,,0.8755300000000001,0.00032,10.1021/je900643r,,
115,-7003674751781316979,298.15,101.0,Liquid,1,CCCOC(=O)CCC,Solvent,1.0,,,,,,0.8679000000000002,0.000115,10.1016/j.jct.2008.10.007,,
116,-6515162773225741453,298.15,101.325,Liquid,1,CN(C)CCCO,Solvent,1.0,,,,,,0.8808170000000002,0.000453,10.1021/acs.jced.7b00042,,
117,-4158633264340560961,298.15,101.325,Liquid,1,CCCCC,Solvent,1.0,,,,,,0.6212200000000002,0.000495,10.1016/j.jct.2005.10.011,,
118,8206576274668860238,298.15,101.325,Liquid,1,COCCO,Solvent,1.0,,,,,,0.9653100000000002,0.001,10.1016/j.fluid.2014.07.041,,
119,-6172348970580724176,298.15,101.325,Liquid,1,OCCc1ccccc1,Solvent,1.0,,,,,,1.0162000000000002,0.001,10.1021/acs.jced.7b00869,,
120,-4771248988907273518,298.15,101.325,Liquid,1,CCCCC(C)=O,Solvent,1.0,,,,,,0.8067000000000002,0.000385,10.1021/acs.jced.7b00035,,
121,7458256914346864696,298.15,101.325,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,0.9430000000000002,0.0006,10.1016/j.fluid.2008.02.018,,
122,5117220721564733877,298.15,101.325,Liquid,1,OCC(F)(F)F,Solvent,1.0,,,,,,1.3824000000000003,0.0008,10.1021/je700741x,,
123,7581941123243218012,298.15,101.325,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,0.8962400000000003,0.000755,10.1021/je034005y,,
124,5597499159342485008,298.15,101.325,Liquid,1,OCc1ccccc1,Solvent,1.0,,,,,,1.0414000000000003,0.00055,10.1021/je050159x,,
125,-6805532032802973095,298.15,101.325,Liquid,1,CCCCCCCCO,Solvent,1.0,,,,,,0.8217000000000002,0.002,10.1016/j.jct.2019.01.006,,
126,-5071413661304490822,298.15,101.325,Liquid,1,CCCC(=O)OCC,Solvent,1.0,,,,,,0.8744200000000002,0.003225,10.1021/je050001c,,
127,-7516547689202761208,298.15,101.325,Liquid,1,CCCCNCCCC,Solvent,1.0,,,,,,0.7577840000000001,0.0010295,10.1021/je800026p,,
128,-8071320849887272249,298.15,101.325,Liquid,1,C1COCCO1,Solvent,1.0,,,,,,1.0278800000000003,0.0025,10.1016/j.jct.2003.09.001,,
129,711774749824160077,298.15,101.325,Liquid,1,CN(CCO)CCO,Solvent,1.0,,,,,,1.03679,0.00059,10.1021/je900064e,,
130,-3538916842184194536,298.15,101.325,Liquid,1,O=C1CCCC1,Solvent,1.0,,,,,,0.9450000000000002,0.00095,10.1016/j.fluid.2013.10.057,,
131,-6799694091150194067,298.15,101.3,Liquid,1,O=S1(=O)CCCC1,Solvent,1.0,,,,,,1.2664000000000004,0.001,10.1016/j.tca.2016.07.005,,
132,-8117781972963825914,298.15,101.325,Liquid,1,CCCCC(=O)OCC,Solvent,1.0,,,,,,0.8694200000000002,0.00031,10.1016/j.jct.2005.03.020,,
133,-1097509058286314512,298.15,101.325,Liquid,1,CC(C)CO,Solvent,1.0,,,,,,0.8016520000000003,0.0050015,10.1021/acs.jced.8b00120,,
134,-1108917996166621125,298.15,101.325,Liquid,1,CCOC(C)(C)CC,Solvent,1.0,,,,,,0.7605700000000002,0.00033,10.1016/j.fluid.2005.04.003,,
135,5148715627319104754,298.15,101.325,Liquid,1,C=C(C)[C@H]1CC=C(C)CC1,Solvent,1.0,,,,,,0.8386800000000002,0.0009,10.1016/j.fluid.2013.10.036,,
136,1988041828306415851,303.15,100.0,Liquid,1,CCOC(=O)C(C)C,Solvent,1.0,,,,,,0.8579200000000001,0.00011,10.1016/j.jct.2019.105884,,
137,-3262684639100348300,298.15,101.325,Liquid,1,COCCOCCOC,Solvent,1.0,,,,,,0.9388000000000002,0.00055,10.1021/acs.jced.5b00662,,
138,-6329854886580157251,298.15,101.325,Liquid,1,CCOC(C)=O,Solvent,1.0,,,,,,0.8995000000000002,0.005,10.1021/acs.jced.7b01107,,
139,7422590853117927355,298.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,0.9271000000000004,0.001,10.1021/je900906j,,
140,2425716222036863597,298.15,101.325,Liquid,1,ClCCCCCl,Solvent,1.0,,,,,,1.1336300000000004,0.002405,10.1016/j.jct.2008.01.024,,
141,-9141976336704599376,298.15,101.325,Liquid,1,ClCCCCCCCl,Solvent,1.0,,,,,,1.0637000000000003,0.001025,10.1016/j.jct.2008.01.024,,
142,-4872565387895859872,298.15,101.325,Liquid,1,CCCNCCC,Solvent,1.0,,,,,,0.7336180000000002,0.0008875,10.1021/acs.jced.5b00802,,
143,-3214317674198579535,298.15,101.325,Liquid,1,CCOC=O,Solvent,1.0,,,,,,0.9120600000000002,0.001425,10.1021/je050001c,,
144,2171094650211189226,298.15,101.325,Liquid,1,CCCOC=O,Solvent,1.0,,,,,,0.8998600000000002,0.000785,10.1016/j.fluid.2013.11.026,,
145,-7275600898250044505,298.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,,,,,,0.8091600000000002,0.000305,10.1021/acs.jced.7b00035,,
146,1483274632530870235,298.15,101.325,Liquid,1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,1.0,,,,,,0.9406700000000002,7.000000000000002e-05,10.1016/j.jct.2015.04.034,,
147,-789791172334875991,298.15,101.325,Liquid,1,CCCC#N,Solvent,1.0,,,,,,0.7862700000000001,0.00042,10.1021/je100489z,,
148,5991572863383024425,298.15,101.0,Liquid,1,NCCNCCO,Solvent,1.0,,,,,,1.0252800000000002,0.000275,10.1021/je060032n,,
149,-2806530258735603131,298.15,101.325,Liquid,1,NCCCO,Solvent,1.0,,,,,,0.9835860000000004,0.000503,10.1021/acs.jced.7b00042,,
150,-317296261819976935,298.15,101.325,Liquid,1,OCCCc1ccccc1,Solvent,1.0,,,,,,1.0326900000000003,0.006,10.1021/je050085p,,
151,-75308312250528772,298.15,101.325,Liquid,1,CCCCBr,Solvent,1.0,,,,,,1.2722000000000004,0.0007,10.1021/je200350a,,
152,-7508298225467686438,298.15,101.325,Liquid,1,CNCCO,Solvent,1.0,,,,,,0.93618,0.000635,10.1021/je1002626,,
153,-490691320355651250,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,0.9501790000000002,0.000511,10.1021/je4004965,,
154,2134850278658274119,298.15,101.325,Liquid,1,O=C1CCCCCC1,Solvent,1.0,,,,,,0.9476200000000002,0.000515,10.1021/acs.jced.6b00606,,
155,-8318812900883244160,298.15,101.325,Liquid,1,CC(=O)C(C)=O,Solvent,1.0,,,,,,0.9855000000000004,0.000135,10.1021/je300280s,,
156,286353496184071720,298.15,101.325,Liquid,1,CC/C=C\CCO,Solvent,1.0,,,,,,0.8486400000000002,0.000335,10.1021/je300280s,,
157,4318465752976797615,298.15,101.325,Liquid,1,CN1CCCCC1,Solvent,1.0,,,,,,0.8126200000000002,0.00023,10.1021/je200093f,,
158,7503663691851328655,298.15,101.325,Liquid,1,CCCCOC(=O)CCC,Solvent,1.0,,,,,,0.8691400000000002,0.001725,10.1021/je050001c,,
159,351952535366900050,298.15,101.325,Liquid,1,C=COCCC,Solvent,1.0,,,,,,0.7629800000000002,0.00061,10.1021/je7003512,,
160,1067565609085001455,298.0,101.325,Liquid,1,NCCCNCCCN,Solvent,1.0,,,,,,0.9273600000000002,0.002095,10.1021/acs.jced.5b00922,,
161,-293986635875154736,298.15,101.3,Liquid,1,CC(=O)OC(C)=O,Solvent,1.0,,,,,,1.0748000000000002,0.00074,10.1021/je8003782,,
162,-334281565744927174,298.15,100.0,Liquid,1,CC1=CCC(=O)O1,Solvent,1.0,,,,,,1.0885530000000003,0.0003475,10.1021/acs.jced.8b01146,,
163,3090634096151270647,298.15,101.325,Liquid,1,C1COCCN1,Solvent,1.0,,,,,,0.9960000000000002,0.00245,10.1021/je020191g,,
164,3183128812214662392,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.8082,CCCCCl,Solvent,0.1918,,,0.7440910000000002,0.000448,10.1007/s10765-010-0737-5,,
165,-2198093225409888967,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.484,CCCCCl,Solvent,0.516,,,0.7925060000000002,0.0004005,10.1007/s10765-010-0737-5,,
166,-2138331848805668760,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.2845999999999999,CCCCCl,Solvent,0.7154,,,0.8263210000000002,0.000365,10.1007/s10765-010-0737-5,,
167,5320985337075722294,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.7274,CCCCCl,Solvent,0.2726,-0.0732,0.00095,,,10.1016/j.fluid.2011.06.001,,
168,4270300963143079008,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.4547,CCCCCl,Solvent,0.5453,-0.0954,0.0012,,,10.1016/j.fluid.2011.06.001,,
