,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
31,194699681006051052,298.15,101.325,Liquid,1,CC(=O)CC(C)C,Solvent,1.0,,,,,,0.8005890000000002,0.0050015,,,10.1021/acs.jced.8b00120
32,-8867142169579393527,298.15,101.325,Liquid,1,CCOC(=O)CC(C)=O,Solvent,1.0,,,,,,1.0235000000000003,0.00055,,,10.1016/j.fluid.2008.03.012
33,-1900345591296192414,298.2,101.325,Liquid,1,C1COCCO1,Solvent,1.0,,,,,,1.0279000000000005,0.000445,,,10.1016/j.jct.2012.05.032
34,-5106531241498744802,303.15,101.325,Liquid,1,CN(C)CCO,Solvent,1.0,,,,,,0.8795700000000003,0.000115,,,10.1021/acs.jced.5b00282
35,4467583724385211779,298.15,101.325,Liquid,1,C1CCNCC1,Solvent,1.0,,,,,,0.8646000000000003,0.0009,,,10.1016/j.fluid.2009.10.018
36,-6212197542561117365,298.15,101.325,Liquid,1,Cc1cccc(O)c1,Solvent,1.0,,,,,,1.0300000000000002,0.00385,,,10.1016/j.jct.2006.03.006
37,-5498464532998961561,298.15,101.325,Liquid,1,CC1CCCCC1,Solvent,1.0,,,,,,0.7649500000000002,0.008,,,10.1021/acs.jced.6b00019
38,-9051594770343134436,298.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,,,,,,0.9893000000000002,0.001,,,10.1016/j.jct.2007.03.007
39,-3542386380186591205,303.0,101.0,Liquid,1,ClC(Cl)Cl,Solvent,1.0,,,,,,1.4753000000000005,0.01,,,10.1016/j.jct.2013.10.008
40,2286441867127822001,298.15,101.325,Liquid,1,CC(=O)O,Solvent,1.0,,,,,,1.0441200000000002,0.005,,,10.1021/acs.jced.6b00112
41,1612043098847244555,298.15,101.325,Liquid,1,ClCCCCl,Solvent,1.0,,,,,,1.1792000000000002,0.0012,,,10.1016/j.jct.2016.12.016
42,6039139756272407767,298.15,101.325,Liquid,1,ClCCCCCCl,Solvent,1.0,,,,,,1.0950100000000005,0.00052,,,10.1016/j.jct.2018.12.042
43,-4819361828885836251,298.15,101.325,Liquid,1,Cc1ccccc1N,Solvent,1.0,,,,,,0.9942800000000002,0.00358,,,10.1021/je800100m
44,-3175275348393766035,303.15,101.0,Liquid,1,NCCO,Solvent,1.0,,,,,,1.0095000000000005,0.005,,,10.1016/j.jct.2019.06.032
45,-8203273694724718123,298.15,101.325,Liquid,1,CCN(CC)CCO,Solvent,1.0,,,,,,0.8795000000000002,0.00015,,,10.1021/je700350b
46,-618819617197662905,298.15,101.325,Liquid,1,CCCCCCN,Solvent,1.0,,,,,,0.7600730000000001,0.000915,,,10.1021/acs.jced.5b00802
47,-6438459589286950493,293.15,101.0,Liquid,1,BrCCBr,Solvent,1.0,,,,,,2.1787700000000005,0.001455,,,10.1021/je0603325
48,6486099059556318141,295.15,101.325,Liquid,1,BrCCCCBr,Solvent,1.0,,,,,,1.8194400000000004,0.000515,,,10.1016/j.jct.2005.07.009
49,-5467003393093320508,298.05,101.0,Liquid,1,BrCCCCCBr,Solvent,1.0,,,,,,1.6918700000000002,0.000455,,,10.1021/je060200b
50,3863768031167736853,295.15,101.325,Liquid,1,BrCCCCCCBr,Solvent,1.0,,,,,,1.6018000000000003,0.00125,,,10.1016/j.jct.2005.07.009
51,-3522157999650166317,298.15,101.325,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,0.8998000000000002,0.000185,,,10.1016/j.fluid.2005.05.012
52,5236768179031036835,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,0.952002,0.000511,,,10.1021/je4004965
53,7770690891726888238,298.15,101.325,Liquid,1,Cc1ccccn1,Solvent,1.0,,,,,,0.9398000000000002,0.0013,,,10.1021/je020148t
54,-3427985763195227254,298.15,101.0,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,,,,,,1.0776300000000003,0.0005,,,10.1016/j.fluid.2011.07.018
55,2677264232197663122,298.15,101.325,Liquid,1,CCC#N,Solvent,1.0,,,,,,0.7767000000000003,0.0008,,,10.1016/j.jct.2016.12.016
56,5580248632646705872,298.15,101.325,Liquid,1,CCC(C)(C)O,Solvent,1.0,,,,,,0.8040100000000002,0.000495,,,10.1021/je049738c
57,-3474366204786310258,298.15,101.325,Liquid,1,CCC(=O)OC,Solvent,1.0,,,,,,0.9101800000000002,0.00045,,,10.1016/j.jct.2006.05.004
58,2040043696923145482,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,1.0258000000000005,0.0011,,,10.1016/j.fluid.2008.02.023
59,-4927742616517013946,298.15,101.325,Liquid,1,COC=O,Solvent,1.0,,,,,,0.9663800000000002,0.000515,,,10.1021/je200974r
60,-6515162773225741453,298.15,101.325,Liquid,1,CN(C)CCCO,Solvent,1.0,,,,,,0.8808170000000002,0.000453,,,10.1021/acs.jced.7b00042
61,3988702270931790690,298.15,101.0,Liquid,1,CCCCC,Solvent,1.0,,,,,,0.6214000000000002,0.00015,,,10.1021/je3011979
62,5597499159342485008,298.15,101.325,Liquid,1,OCc1ccccc1,Solvent,1.0,,,,,,1.0414000000000003,0.00055,,,10.1021/je050159x
63,-1108917996166621125,298.15,101.325,Liquid,1,CCOC(C)(C)CC,Solvent,1.0,,,,,,0.7605700000000002,0.00033,,,10.1016/j.fluid.2005.04.003
64,5148715627319104754,298.15,101.325,Liquid,1,C=C(C)[C@H]1CC=C(C)CC1,Solvent,1.0,,,,,,0.8386800000000002,0.0009,,,10.1016/j.fluid.2013.10.036
65,1988041828306415851,303.15,100.0,Liquid,1,CCOC(=O)C(C)C,Solvent,1.0,,,,,,0.8579200000000001,0.00011,,,10.1016/j.jct.2019.105884
66,7422590853117927355,298.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,0.9271000000000004,0.001,,,10.1021/je900906j
67,2425716222036863597,298.15,101.325,Liquid,1,ClCCCCCl,Solvent,1.0,,,,,,1.1336300000000004,0.002405,,,10.1016/j.jct.2008.01.024
68,-9141976336704599376,298.15,101.325,Liquid,1,ClCCCCCCCl,Solvent,1.0,,,,,,1.0637000000000003,0.001025,,,10.1016/j.jct.2008.01.024
69,-3214317674198579535,298.15,101.325,Liquid,1,CCOC=O,Solvent,1.0,,,,,,0.9120600000000002,0.001425,,,10.1021/je050001c
70,1483274632530870235,298.15,101.325,Liquid,1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,1.0,,,,,,0.9406700000000002,7.000000000000002e-05,,,10.1016/j.jct.2015.04.034
71,-789791172334875991,298.15,101.325,Liquid,1,CCCC#N,Solvent,1.0,,,,,,0.7862700000000001,0.00042,,,10.1021/je100489z
72,1046903365058475334,298.15,101.0,Liquid,1,NCCCO,Solvent,1.0,,,,,,0.9874210000000004,0.000312,,,10.1021/je900739x
73,-75308312250528772,298.15,101.325,Liquid,1,CCCCBr,Solvent,1.0,,,,,,1.2722000000000004,0.0007,,,10.1021/je200350a
74,-7508298225467686438,298.15,101.325,Liquid,1,CNCCO,Solvent,1.0,,,,,,0.93618,0.000635,,,10.1021/je1002626
75,-490691320355651250,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,0.9501790000000002,0.000511,,,10.1021/je4004965
76,3090634096151270647,298.15,101.325,Liquid,1,C1COCCN1,Solvent,1.0,,,,,,0.9960000000000002,0.00245,,,10.1021/je020191g
77,3183128812214662392,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.8082,,CCCCCl,Solvent,0.1918,,0.7440910000000002,0.000448,,,10.1007/s10765-010-0737-5
78,-2198093225409888967,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.484,,CCCCCl,Solvent,0.516,,0.7925060000000002,0.0004005,,,10.1007/s10765-010-0737-5
79,-2138331848805668760,298.15,101.3,Liquid,2,CC(C)OC(C)C,Solvent,0.2845999999999999,,CCCCCl,Solvent,0.7154,,0.8263210000000002,0.000365,,,10.1007/s10765-010-0737-5
80,5320985337075722294,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.7274,,CCCCCl,Solvent,0.2726,,,,-0.0732,0.00095,10.1016/j.fluid.2011.06.001
81,4270300963143079008,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.4547,,CCCCCl,Solvent,0.5453,,,,-0.0954,0.0012,10.1016/j.fluid.2011.06.001
82,552803246800335301,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.2727,,CCCCCl,Solvent,0.7273,,,,-0.0785,0.001,10.1016/j.fluid.2011.06.001
83,-7270697217430411225,298.15,101.3,Liquid,2,CC(C)CCl,Solvent,0.5137,,CC(C)OC(C)C,Solvent,0.4862999999999999,,0.7878250000000002,0.000405,,,10.1007/s10765-010-0737-5
84,-5503513767457908352,298.15,101.3,Liquid,2,CC(C)CCl,Solvent,0.8059,,CC(C)OC(C)C,Solvent,0.1941,,0.8355300000000002,0.0003555,,,10.1007/s10765-010-0737-5
85,4545714688532998060,298.15,101.0,Liquid,2,CC(C)CCl,Solvent,0.0907,,CC(C)OC(C)C,Solvent,0.9093,,,,-0.0302,0.00055,10.1016/j.fluid.2011.06.001
86,-5474946027588149750,298.15,101.0,Liquid,2,CC(C)CCl,Solvent,0.5453,,CC(C)OC(C)C,Solvent,0.4547,,,,-0.0957,0.0012,10.1016/j.fluid.2011.06.001
87,-2205175400292928665,298.15,101.0,Liquid,2,CC(C)CCl,Solvent,0.727,,CC(C)OC(C)C,Solvent,0.273,,,,-0.0791,0.001,10.1016/j.fluid.2011.06.001
88,-6590921395668308909,298.15,101.0,Liquid,2,CC(C)CCl,Solvent,0.091,,CC(C)OC(C)C,Solvent,0.909,,0.7293950000000001,0.000464,,,10.1021/je100765j
89,-1872313190594158551,298.15,101.3,Liquid,2,CC(C)(C)Cl,Solvent,0.1991,,CC(C)OC(C)C,Solvent,0.8009,,0.7376660000000003,0.0004545,,,10.1007/s10765-010-0737-5
90,-3613858764408229774,298.15,101.3,Liquid,2,CC(C)(C)Cl,Solvent,0.5148,,CC(C)OC(C)C,Solvent,0.4851999999999999,,0.7723510000000002,0.00042,,,10.1007/s10765-010-0737-5
91,3768885881861264578,298.15,101.3,Liquid,2,CC(C)(C)Cl,Solvent,0.7152,,CC(C)OC(C)C,Solvent,0.2848,,0.7971450000000002,0.0003945,,,10.1007/s10765-010-0737-5
92,5191684607067347210,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.2192,,CC(C)OC(C)C,Solvent,0.7807999999999999,,,,0.007,0.0004,10.1016/j.fluid.2011.06.001
93,-1321662578150329085,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.5512,,CC(C)OC(C)C,Solvent,0.4488,,,,0.0071,0.0004,10.1016/j.fluid.2011.06.001
94,8213599158749267021,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.7747,,CC(C)OC(C)C,Solvent,0.2252999999999999,,,,0.0035,0.0004,10.1016/j.fluid.2011.06.001
95,7616468462769817563,308.15,101.0,Liquid,2,CCCCCCC,Solvent,0.4921999999999999,,c1ccccc1,Solvent,0.5078,,0.7409000000000001,0.00015,,,10.1007/s10765-009-0667-2
96,-2285388789894833933,308.15,101.0,Liquid,2,CCCCCCC,Solvent,0.2737,,c1ccccc1,Solvent,0.7263,,0.7855000000000002,0.00015,,,10.1007/s10765-009-0667-2
97,8320265171751788670,303.15,101.0,Liquid,2,CCCCCCC,Solvent,0.7519,,c1ccccc1,Solvent,0.2481,,,,0.6047,0.0035,10.1016/j.tca.2013.01.028
98,4038602623504977360,303.15,101.0,Liquid,2,CCCCCCC,Solvent,0.5,,c1ccccc1,Solvent,0.5,,,,0.9235,0.0051,10.1016/j.tca.2013.01.028
99,-5861871577608458421,303.15,101.0,Liquid,2,CCCCCCC,Solvent,0.2423999999999999,,c1ccccc1,Solvent,0.7576,,,,0.7775,0.0044,10.1016/j.tca.2013.01.028
100,6984611309858004974,298.15,101.0,Liquid,2,CCCCCCC,Solvent,0.9136666654754124,,c1ccccc1,Solvent,0.0863333345245875,,0.6892400000000002,0.000805,,,10.1016/j.jct.2009.06.001
101,8462643600056538212,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7543,,CCCCCC,Solvent,0.2457,,0.7392000000000002,0.00065,,,10.1007/s10765-005-5572-8
102,-1519420902279241729,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.219,,CCCCCC,Solvent,0.781,,,,0.1264,0.00105,10.1016/j.jct.2008.12.004
103,-5696397383340621547,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4832,,CCCCCC,Solvent,0.5167999999999999,,,,0.2144,0.00155,10.1016/j.jct.2008.12.004
104,5556705637415198902,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7255,,CCCCCC,Solvent,0.2744999999999999,,,,0.199,0.00145,10.1016/j.jct.2008.12.004
105,-3678927177199248097,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4792999999999999,,CCCCCC,Solvent,0.5207,,0.7105500000000001,0.001555,,,10.1016/j.jct.2005.02.006
106,3012052887124514727,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2342999999999999,,CCCCCC,Solvent,0.7657,,0.6838300000000002,0.001655,,,10.1016/j.jct.2005.02.006
107,4713306138784230524,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.212,,CCCCCl,Solvent,0.788,,,,0.244,0.0025,10.1016/j.jct.2007.01.017
108,1569328764249022387,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.511,,CCCCCl,Solvent,0.489,,,,0.363,0.0025,10.1016/j.jct.2007.01.017
109,-8032337453220816590,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.708,,CCCCCl,Solvent,0.292,,,,0.305,0.0025,10.1016/j.jct.2007.01.017
110,-6549379805495314515,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.2105,,CCCCCl,Solvent,0.7895,,0.8918000000000001,0.0002,,,10.1021/je700096m
111,6189245782976446620,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.499,,CCCCCl,Solvent,0.501,,0.9081000000000002,0.0002,,,10.1021/je700096m
112,1620520459472262094,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.7997,,CCCCCl,Solvent,0.2003,,0.9247000000000004,0.0002,,,10.1021/je700096m
113,6222908777832092017,298.15,100.0,Liquid,2,CC1CCCCC1,Solvent,0.2504,,CCCO,Solvent,0.7496,,,,0.321,0.0055,10.1016/j.jct.2016.10.005
114,-213440382294916142,298.15,100.0,Liquid,2,CC1CCCCC1,Solvent,0.5004,,CCCO,Solvent,0.4996,,,,0.533,0.0055,10.1016/j.jct.2016.10.005
115,-2879358186562334175,298.15,100.0,Liquid,2,CC1CCCCC1,Solvent,0.7505,,CCCO,Solvent,0.2495,,,,0.574,0.0055,10.1016/j.jct.2016.10.005
116,6759739636114834358,298.15,101.0,Liquid,2,CC1CCCCC1,Solvent,0.2027,,CCCO,Solvent,0.7973,,0.7942000000000002,0.00398,,,10.1016/j.jct.2005.06.011
117,1770270069204621055,298.15,101.0,Liquid,2,CC1CCCCC1,Solvent,0.5031,,CCCO,Solvent,0.4969,,0.7785600000000001,0.0039,,,10.1016/j.jct.2005.06.011
118,-8909420149772663378,298.15,101.0,Liquid,2,CC1CCCCC1,Solvent,0.799,,CCCO,Solvent,0.2009999999999999,,0.7688300000000002,0.003855,,,10.1016/j.jct.2005.06.011
119,2975448571761210106,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.7516,,CCOC(=O)CC(=O)OCC,Solvent,0.2484,,,,2.053,0.009,10.1016/j.fluid.2009.11.030
120,-3289760801387965179,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.5019,,CCOC(=O)CC(=O)OCC,Solvent,0.4981,,,,2.542,0.0105,10.1016/j.fluid.2009.11.030
121,-1815494791956063261,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.2491999999999999,,CCOC(=O)CC(=O)OCC,Solvent,0.7508,,,,1.907,0.008,10.1016/j.fluid.2009.11.030
122,-3047974077263516792,298.15,101.0,Liquid,2,CC(C)CO,Solvent,0.7,,CCOC(=O)CC(=O)OCC,Solvent,0.3,,0.8987460000000002,0.000164,,,10.1021/je100100n
123,91036005155798080,298.15,101.0,Liquid,2,CC(C)CO,Solvent,0.4999,,CCOC(=O)CC(=O)OCC,Solvent,0.5001,,0.9511160000000002,0.000125,,,10.1021/je100100n
124,-7128191463278130827,298.15,101.0,Liquid,2,CC(C)CO,Solvent,0.1997,,CCOC(=O)CC(=O)OCC,Solvent,0.8003,,1.0145710000000003,0.000101,,,10.1021/je100100n
125,-5245202217626101953,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7513,,CCCCCCCC,Solvent,0.2487,,,,0.23,0.005,10.1016/j.fluid.2006.03.020
126,-4622658551022999023,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.5324,,CCCCCCCC,Solvent,0.4676,,,,0.258,0.005,10.1016/j.fluid.2006.03.020
127,6949093542675192990,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2744,,CCCCCCCC,Solvent,0.7256,,,,0.18,0.005,10.1016/j.fluid.2006.03.020
128,-1408044381996621031,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2498,,CCCCCCCC,Solvent,0.7502,,0.7110900000000002,0.000605,,,10.1016/j.jct.2005.02.006
129,-8643594699776936850,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4777,,CCCCCCCC,Solvent,0.5223,,0.7250300000000002,0.000585,,,10.1016/j.jct.2005.02.006
130,-3375072064120693212,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7961,,CCCCCCCC,Solvent,0.2038999999999999,,0.7509700000000002,0.00055,,,10.1016/j.jct.2005.02.006
131,-151271110370914478,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7442,,C1COCCO1,Solvent,0.2558,,,,1.262,0.007,10.1016/j.fluid.2006.03.020
132,-5785324253375602075,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4928,,C1COCCO1,Solvent,0.5072,,,,1.588,0.008,10.1016/j.fluid.2006.03.020
133,-7925206924428167101,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2393999999999999,,C1COCCO1,Solvent,0.7606,,,,1.124,0.007,10.1016/j.fluid.2006.03.020
134,-3607996175848249482,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.6997,,C1COCCO1,Solvent,0.3003,,0.8305800000000002,0.0001,,,10.1016/j.jct.2005.09.004
135,-2231709518624986222,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4993999999999999,,C1COCCO1,Solvent,0.5006,,0.8769800000000002,8.500000000000002e-05,,,10.1016/j.jct.2005.09.004
136,-5259952713033204337,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2972,,C1COCCO1,Solvent,0.7028,,0.9312200000000004,7.000000000000002e-05,,,10.1016/j.jct.2005.09.004
137,8128353522264555278,298.15,101.0,Liquid,2,CCO,Solvent,0.25,,O,Solvent,0.75,,,,-0.702,0.009,10.1016/j.jct.2005.06.018
138,3976824500417838819,298.15,101.0,Liquid,2,CCO,Solvent,0.5,,O,Solvent,0.5,,,,-0.391,0.0055,10.1016/j.jct.2005.06.018
139,7726702917458722100,298.15,101.0,Liquid,2,CCO,Solvent,0.9,,O,Solvent,0.0999999999999999,,,,-0.148,0.0025,10.1016/j.jct.2005.06.018
140,-5439842096001622184,298.15,101.3,Liquid,2,CCO,Solvent,0.2383498131301668,,O,Solvent,0.7616501868698332,,0.9225500000000002,0.00196,,,10.1021/je020173z
141,-3267286697669483940,298.15,101.0,Liquid,2,CCO,Solvent,0.9,,O,Solvent,0.1,,0.7977000000000002,0.0015,,,10.1021/je800150h
142,802054875460439528,298.15,101.0,Liquid,2,CCO,Solvent,0.5,,O,Solvent,0.5,,0.8592000000000003,0.00165,,,10.1021/je800150h
143,-3607326233562592671,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.7554,,c1ccncc1,Solvent,0.2446,,0.9676900000000004,5.5000000000000016e-05,,,10.1016/j.fluid.2013.10.029
144,2587464093294226718,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.5426,,c1ccncc1,Solvent,0.4574,,0.9706400000000002,5.5000000000000016e-05,,,10.1016/j.fluid.2013.10.029
145,6371008289513795698,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.2273,,c1ccncc1,Solvent,0.7726999999999999,,0.9755600000000002,5.5000000000000016e-05,,,10.1016/j.fluid.2013.10.029
146,1243305992891767581,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.2395,,c1ccncc1,Solvent,0.7605,,,,-1.7662,0.01145,10.1016/j.fluid.2013.10.029
147,-4203660327191829659,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.5095,,c1ccncc1,Solvent,0.4905,,,,-2.649,0.01645,10.1016/j.fluid.2013.10.029
148,-8986566853220947601,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.7602,,c1ccncc1,Solvent,0.2398,,,,-1.6452,0.01075,10.1016/j.fluid.2013.10.029
149,-843233066371808928,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.314,,c1ccccc1,Solvent,0.6859999999999999,,,,0.5893,0.00385,10.1016/j.fluid.2013.10.029
150,-3267191754288915171,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.494,,c1ccccc1,Solvent,0.506,,,,0.609,0.00395,10.1016/j.fluid.2013.10.029
151,-7743407824540383105,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8208,,c1ccccc1,Solvent,0.1792,,,,0.3441,0.00245,10.1016/j.fluid.2013.10.029
152,5346601938597650698,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.3142,,c1ccccc1,Solvent,0.6858,,0.9043500000000002,0.000195,,,10.1021/je100526j
153,8304494410475971553,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.503,,c1ccccc1,Solvent,0.497,,0.9220400000000002,0.00019,,,10.1021/je100526j
154,3511802140072879386,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8207,,c1ccccc1,Solvent,0.1793,,0.9503300000000002,0.000195,,,10.1021/je100526j
