,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
40,"Molar enthalpy of solution, kJ/mol",0.53,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.05,10.1016/j.tca.2006.02.028
41,"Molar enthalpy of solution, kJ/mol",2.8,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.1,10.1016/j.tca.2006.02.028
42,"Molar enthalpy of solution, kJ/mol",4.45,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.15,10.1016/j.tca.2006.02.028
43,"Molar enthalpy of solution, kJ/mol",5.74,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.2,10.1016/j.tca.2006.02.028
44,"Molar enthalpy of solution, kJ/mol",6.61,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.3,10.1016/j.tca.2006.02.028
45,"Molar enthalpy of solution, kJ/mol",7.28,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.4,10.1016/j.tca.2006.02.028
46,"Molar enthalpy of solution, kJ/mol",7.76,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.5,10.1016/j.tca.2006.02.028
47,"Molar enthalpy of solution, kJ/mol",8.28,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.6,10.1016/j.tca.2006.02.028
48,"Molar enthalpy of solution, kJ/mol",8.84,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.7,10.1016/j.tca.2006.02.028
49,"Molar enthalpy of solution, kJ/mol",9.67,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.8,10.1016/j.tca.2006.02.028
50,"Molar enthalpy of solution, kJ/mol",10.82,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,0.9,10.1016/j.tca.2006.02.028
51,"Molar enthalpy of solution, kJ/mol",11.95,"['methanol', 'dimethylformamide', 'water']",methanol,Unknown type,1.0,10.1016/j.tca.2006.02.028
